,Date,Department,Category,CustomerCode,Price,Quantity
0,2016-01-14,Kabobs,Pork,CWM11331L8O,28.0,11.0
1,2016-07-02,Sides,Rice,CWM11331L8O,9.0,5.0
2,2014-07-09,Sides,Rice,CXP4593H7E,9.0,14.0
3,2014-09-10,Sides,Rice,CWM11331L8O,9.0,6.0
4,2015-04-28,Kabobs,Beef,CWM11331L8O,25.0,7.0
5,2014-01-07,Entrees,Lamb Chops,CWM11331L8O,18.0,13.0
6,2014-11-19,Entrees,Beef and Broccoli,CIF57576XZ,26.0,9.0
7,2015-06-18,Sides,Yogurt,CWM11331L8O,12.0,6.0
8,2014-08-20,Sides,Rice,CWM11331L8O,9.0,11.0
9,2016-07-05,Entrees,Lamb Chops,CWM11331L8O,12.0,22.0
10,2014-02-20,Entrees,Lamb Chops,CWM11331L8O,14.0,12.0
11,2015-02-11,Sides,Roll,CWM11331L8O,5.0,10.0
12,2017-02-13,Sides,Yogurt,CWM11331L8O,12.0,17.0
13,2014-04-03,Kabobs,Chicken,CWM11331L8O,33.0,6.0
14,2015-08-12,Kabobs,Lamb,CWM11331L8O,28.0,13.0
15,2014-01-05,Sides,Rice,CWM11331L8O,9.0,10.0
16,2016-11-26,Kabobs,Chicken,CWM11331L8O,33.0,14.0
17,2016-08-25,Kabobs,Lamb,CWM11331L8O,28.0,16.0
18,2014-06-22,Kabobs,Chicken,CWM11331L8O,33.0,10.0
19,2014-11-01,Kabobs,Chicken,CWM11331L8O,33.0,9.0
20,2014-01-05,Kabobs,Chicken,CWM11331L8O,33.0,20.0
21,2014-03-01,Kabobs,Beef,CWM11331L8O,25.0,5.0
22,2014-01-11,Kabobs,Beef,CWM11331L8O,25.0,16.0
23,2016-07-14,Kabobs,Beef,CWM11331L8O,28.0,9.0
24,2014-11-30,Kabobs,Lamb,CWM11331L8O,28.0,7.0
25,2016-06-16,Entrees,Lamb Chops,CWM11331L8O,8.0,6.0
26,2014-03-11,Kabobs,Beef,CWM11331L8O,25.0,7.0
27,2015-07-21,Sides,Yogurt,CWM11331L8O,12.0,6.0
28,2015-03-29,Kabobs,Chicken,CWM11331L8O,33.0,15.0
29,2015-02-07,Sides,Yogurt,CWM11331L8O,12.0,5.0
30,2016-01-07,Kabobs,Lamb,CWM11331L8O,28.0,5.0
31,2015-03-05,Entrees,Beef and Broccoli,CWM11331L8O,26.0,16.0
32,2016-08-30,Kabobs,Chicken,CWM11331L8O,33.0,15.0
33,2015-12-02,Kabobs,Chicken,CWM11331L8O,33.0,17.0
34,2015-08-10,Sides,Yogurt,CC56195HKD,12.0,10.0
35,2015-04-12,Kabobs,Lamb,CWM11331L8O,28.0,11.0
36,2015-04-20,Kabobs,Chicken,CWM11331L8O,33.0,19.0
37,2016-03-03,Sides,Rice,CWM11331L8O,9.0,7.0
38,2014-11-23,Kabobs,Beef,CWM11331L8O,25.0,11.0
39,2015-09-14,Entrees,Lamb Chops,CWM11331L8O,32.0,11.0
40,2015-05-13,Entrees,Beef and Broccoli,CWM11331L8O,19.0,5.0
41,2017-01-04,Kabobs,Beef,CWM11331L8O,28.0,7.0
42,2015-06-24,Kabobs,Chicken,CWM11331L8O,33.0,10.0
43,2016-11-27,Kabobs,Beef,CWM11331L8O,28.0,1.0
44,2015-02-16,Kabobs,Lamb,CWM11331L8O,28.0,2.0
45,2015-12-30,Kabobs,Beef,CWM11331L8O,25.0,14.0
46,2014-01-11,Sides,Yogurt,CWM11331L8O,12.0,10.0
47,2015-07-25,Entrees,Lamb Chops,CWM11331L8O,30.0,9.0
48,2015-02-26,Sides,Yogurt,CWM11331L8O,12.0,6.0
49,2015-12-31,Kabobs,Beef,CWM11331L8O,25.0,21.0
50,2016-07-03,Kabobs,Beef,CWM11331L8O,28.0,23.0
