Date,Department,Category,CustomerCode,Price,Quantity,Revenue
2016-01-14,Kabobs,Pork,CWM11331L8O,28.0,11.0,308.0
2016-07-02,Sides,Rice,CWM11331L8O,9.0,5.0,45.0
2014-07-09,Sides,Rice,CXP4593H7E,9.0,14.0,126.0
2014-09-10,Sides,Rice,CWM11331L8O,9.0,6.0,54.0
2015-04-28,Kabobs,Beef,CWM11331L8O,25.0,7.0,175.0
2014-01-07,Entrees,Lamb Chops,CWM11331L8O,18.0,13.0,234.0
2014-11-19,Entrees,Beef and Broccoli,CIF57576XZ,26.0,9.0,234.0
2015-06-18,Sides,Yogurt,CWM11331L8O,12.0,6.0,72.0
2014-08-20,Sides,Rice,CWM11331L8O,9.0,11.0,99.0
2016-07-05,Entrees,Lamb Chops,CWM11331L8O,12.0,22.0,264.0
2014-02-20,Entrees,Lamb Chops,CWM11331L8O,14.0,12.0,168.0
2015-02-11,Sides,Roll,CWM11331L8O,5.0,10.0,50.0
2017-02-13,Sides,Yogurt,CWM11331L8O,12.0,17.0,204.0
2014-04-03,Kabobs,Chicken,CWM11331L8O,33.0,6.0,198.0
2015-08-12,Kabobs,Lamb,CWM11331L8O,28.0,13.0,364.0
2014-01-05,Sides,Rice,CWM11331L8O,9.0,10.0,90.0
2016-11-26,Kabobs,Chicken,CWM11331L8O,33.0,14.0,462.0
2016-08-25,Kabobs,Lamb,CWM11331L8O,28.0,16.0,448.0
2014-06-22,Kabobs,Chicken,CWM11331L8O,33.0,10.0,330.0
2014-11-01,Kabobs,Chicken,CWM11331L8O,33.0,9.0,297.0
2014-01-05,Kabobs,Chicken,CWM11331L8O,33.0,20.0,660.0
2014-03-01,Kabobs,Beef,CWM11331L8O,25.0,5.0,125.0
2014-01-11,Kabobs,Beef,CWM11331L8O,25.0,16.0,400.0
2016-07-14,Kabobs,Beef,CWM11331L8O,28.0,9.0,252.0
2014-11-30,Kabobs,Lamb,CWM11331L8O,28.0,7.0,196.0
2016-06-16,Entrees,Lamb Chops,CWM11331L8O,8.0,6.0,48.0
2014-03-11,Kabobs,Beef,CWM11331L8O,25.0,7.0,175.0
2015-07-21,Sides,Yogurt,CWM11331L8O,12.0,6.0,72.0
2015-03-29,Kabobs,Chicken,CWM11331L8O,33.0,15.0,495.0
2015-02-07,Sides,Yogurt,CWM11331L8O,12.0,5.0,60.0
2016-01-07,Kabobs,Lamb,CWM11331L8O,28.0,5.0,140.0
2015-03-05,Entrees,Beef and Broccoli,CWM11331L8O,26.0,16.0,416.0
2016-08-30,Kabobs,Chicken,CWM11331L8O,33.0,15.0,495.0
2015-12-02,Kabobs,Chicken,CWM11331L8O,33.0,17.0,561.0
2015-08-10,Sides,Yogurt,CC56195HKD,12.0,10.0,120.0
2015-04-12,Kabobs,Lamb,CWM11331L8O,28.0,11.0,308.0
2015-04-20,Kabobs,Chicken,CWM11331L8O,33.0,19.0,627.0
2016-03-03,Sides,Rice,CWM11331L8O,9.0,7.0,63.0
2014-11-23,Kabobs,Beef,CWM11331L8O,25.0,11.0,275.0
2015-09-14,Entrees,Lamb Chops,CWM11331L8O,32.0,11.0,352.0
2015-05-13,Entrees,Beef and Broccoli,CWM11331L8O,19.0,5.0,95.0
2017-01-04,Kabobs,Beef,CWM11331L8O,28.0,7.0,196.0
2015-06-24,Kabobs,Chicken,CWM11331L8O,33.0,10.0,330.0
2016-11-27,Kabobs,Beef,CWM11331L8O,28.0,1.0,28.0
2015-02-16,Kabobs,Lamb,CWM11331L8O,28.0,2.0,56.0
2015-12-30,Kabobs,Beef,CWM11331L8O,25.0,14.0,350.0
2014-01-11,Sides,Yogurt,CWM11331L8O,12.0,10.0,120.0
2015-07-25,Entrees,Lamb Chops,CWM11331L8O,30.0,9.0,270.0
2015-02-26,Sides,Yogurt,CWM11331L8O,12.0,6.0,72.0
2015-12-31,Kabobs,Beef,CWM11331L8O,25.0,21.0,525.0
2016-07-03,Kabobs,Beef,CWM11331L8O,28.0,23.0,644.0
2015-10-13,Kabobs,Lamb,CWM11331L8O,28.0,10.0,280.0
2014-03-03,Entrees,Lamb Chops,CWM11331L8O,12.0,19.0,228.0
2016-03-13,Kabobs,Beef,CWM11331L8O,25.0,10.0,250.0
2015-07-26,Kabobs,Beef,CWM11331L8O,25.0,11.0,275.0
2015-03-25,Entrees,Beef and Broccoli,CWM11331L8O,16.0,9.0,144.0
2015-02-11,Kabobs,Chicken,CWM11331L8O,33.0,2.0,66.0
2016-11-02,Kabobs,Chicken,CWM11331L8O,33.0,9.0,297.0
2016-06-02,Sides,Yogurt,CWM11331L8O,12.0,13.0,156.0
2015-06-10,Kabobs,Lamb,CWM11331L8O,28.0,11.0,308.0
2016-09-22,Sides,Yogurt,CWM11331L8O,12.0,9.0,108.0
2015-01-15,Kabobs,Chicken,CWM11331L8O,33.0,20.0,660.0
2017-03-19,Sides,Rice,CWM11331L8O,9.0,5.0,45.0
2014-09-15,Kabobs,Chicken,CY94560HP1,33.0,11.0,363.0
2015-10-24,Kabobs,Chicken,CFH82483O5,33.0,16.0,528.0
2014-08-25,Kabobs,Chicken,CWM11331L8O,33.0,20.0,660.0
2014-03-18,Kabobs,Chicken,CWM11331L8O,33.0,4.0,132.0
2014-08-28,Kabobs,Beef,CNP5028AG2,25.0,7.0,175.0
2016-11-12,Sides,Yogurt,CWM11331L8O,12.0,11.0,132.0
2015-08-19,Sides,Yogurt,CWM11331L8O,12.0,4.0,48.0
2015-07-06,Kabobs,Chicken,CWM11331L8O,33.0,8.0,264.0
2014-03-10,Kabobs,Chicken,CWM11331L8O,33.0,10.0,330.0
2014-07-29,Kabobs,Beef,CWM11331L8O,25.0,12.0,300.0
2014-12-23,Kabobs,Beef,CWM11331L8O,25.0,3.0,75.0
2017-03-23,Kabobs,Chicken,CWM11331L8O,33.0,11.0,363.0
2015-04-08,Sides,Rice,CWM11331L8O,9.0,15.0,135.0
2014-08-25,Sides,Yogurt,CWM11331L8O,12.0,9.0,108.0
2014-08-02,Sides,Rice,CWM11331L8O,9.0,12.0,108.0
2015-03-02,Kabobs,Chicken,CWM11331L8O,33.0,7.0,231.0
2014-11-16,Entrees,Lamb Chops,CWM11331L8O,30.0,18.0,540.0
2014-09-11,Kabobs,Beef,CWM11331L8O,25.0,16.0,400.0
2016-03-29,Kabobs,Lamb,CWM11331L8O,28.0,3.0,84.0
2015-07-16,Kabobs,Chicken,CWM11331L8O,33.0,13.0,429.0
2017-01-19,Sides,Roll,CWM11331L8O,5.0,16.0,80.0
2015-02-19,Sides,Chips,CWM11331L8O,8.0,5.0,40.0
2017-02-27,Kabobs,Chicken,CWM11331L8O,33.0,10.0,330.0
2016-01-11,Kabobs,Beef,CWM11331L8O,25.0,8.0,200.0
2016-11-19,Entrees,Beef and Broccoli,CWM11331L8O,30.0,10.0,300.0
2014-04-23,Sides,Rice,CWM11331L8O,9.0,6.0,54.0
2014-07-02,Kabobs,Beef,CWM11331L8O,25.0,17.0,425.0
2014-08-03,Kabobs,Chicken,CWM11331L8O,33.0,6.0,198.0
2016-05-19,Sides,Chips,CWM11331L8O,8.0,8.0,64.0
2015-06-17,Sides,Yogurt,CWM11331L8O,12.0,9.0,108.0
2014-07-01,Sides,Chips,CWM11331L8O,8.0,9.0,72.0
2014-04-22,Kabobs,Lamb,CWM11331L8O,28.0,13.0,364.0
2015-08-18,Entrees,Beef and Broccoli,CMC7807SSM,27.0,19.0,513.0
2014-12-06,Entrees,Lamb Chops,CWM11331L8O,18.0,5.0,90.0
2014-02-15,Sides,Yogurt,CWM11331L8O,12.0,13.0,156.0
2016-01-12,Sides,Yogurt,CWM11331L8O,12.0,18.0,216.0
2014-09-27,Kabobs,Chicken,CWM11331L8O,33.0,4.0,132.0
2016-10-16,Sides,Chips,CWM11331L8O,8.0,8.0,64.0
2014-03-23,Entrees,Beef and Broccoli,C753422ZU3,29.0,20.0,580.0
2015-01-13,Entrees,Beef and Broccoli,CWM11331L8O,26.0,6.0,156.0
2017-02-22,Entrees,Lamb Chops,CLQ5787RXS,32.0,9.0,288.0
2014-01-21,Entrees,Lamb Chops,CWM11331L8O,17.0,7.0,119.0
2014-10-01,Sides,Yogurt,CWM11331L8O,12.0,7.0,84.0
2016-12-04,Sides,Yogurt,CO110403TKG,12.0,2.0,24.0
2015-05-04,Kabobs,Chicken,CWM11331L8O,33.0,9.0,297.0
2014-04-21,Kabobs,Beef,CWM11331L8O,25.0,7.0,175.0
2016-06-19,Kabobs,Beef,CWM11331L8O,28.0,13.0,364.0
2014-01-20,Kabobs,Chicken,CWM11331L8O,33.0,18.0,594.0
2014-09-22,Entrees,Beef and Broccoli,CWM11331L8O,25.0,13.0,325.0
2014-03-25,Sides,Yogurt,C893439MKU,12.0,11.0,132.0
2015-07-11,Kabobs,Chicken,CPB7528869,33.0,14.0,462.0
2015-12-16,Kabobs,Beef,CWM11331L8O,25.0,17.0,425.0
2014-12-31,Kabobs,Chicken,CWM11331L8O,33.0,11.0,363.0
2016-10-05,Sides,Chips,CWM11331L8O,8.0,11.0,88.0
2016-03-22,Kabobs,Chicken,CWM11331L8O,33.0,18.0,594.0
2016-10-17,Entrees,Lamb Chops,CWM11331L8O,16.0,12.0,192.0
2015-05-16,Sides,Rice,CWM11331L8O,9.0,14.0,126.0
2014-07-26,Kabobs,Chicken,CWM11331L8O,33.0,10.0,330.0
2015-01-15,Sides,Yogurt,CWM11331L8O,12.0,11.0,132.0
2015-02-03,Sides,Yogurt,CN962693KT,12.0,7.0,84.0
2016-08-24,Kabobs,Beef,CWM11331L8O,28.0,8.0,224.0
2015-03-02,Kabobs,Beef,CWM11331L8O,25.0,14.0,350.0
2015-05-18,Kabobs,Lamb,CWM11331L8O,28.0,5.0,140.0
